East,North,Level,Au_ppm,Al_per,As_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_per,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Fe_per,Ga_ppm,Ge_ppm,Hf_ppm,K_per,La_ppm,Mg_per,Mn_ppm,Mo_ppm,Na_per,Nb_ppm,Ni_ppm,P_ppm,Rb_ppm,S_per,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti_per,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Zr_ppm,target_Au,Se_detectado,Te_detectado
5492.003,8007.473,580.0,0.0025,3.86,22.81,162.53,0.71,0.05,0.1,0.17,22.17,4.72,12.79,6.76,1.65,9.12,0.025,1.44,1.61,10.3,0.2,700.09,2.59,0.06,2.85,2.16,376.32,118.59,0.01,7.57,5.31,0.5,0.95,7.99,0.22,0.025,3.79,0.19,0.86,1.02,47.45,2.08,9.87,63.94,0,0,0
5531.158,7963.812,610.0,0.0025,4.13,13.08,129.51,0.55,0.05,0.2,0.05,30.15,4.8,21.55,6.25,2.59,9.18,0.05,2.17,0.81,15.25,0.33,518.16,1.41,1.55,3.9,2.32,551.31,62.66,0.01,8.66,5.99,0.5,0.99,64.37,0.28,0.025,4.18,0.23,0.46,1.22,57.79,2.17,9.46,82.18,0,0,0
5506.205,8010.576,580.0,0.0025,2.39,24.19,116.0,0.39,0.05,0.1,0.05,28.5,2.22,19.93,2.85,1.37,6.21,0.1,1.36,0.97,16.21,0.11,182.07,2.36,0.03,2.32,1.42,313.72,75.68,0.005,10.53,5.01,0.5,0.71,5.29,0.17,0.025,3.34,0.15,0.59,0.91,48.64,1.51,5.93,61.27,0,0,0
5522.985,8011.88,572.0,0.005,4.49,51.27,257.35,0.63,0.07,0.13,0.4,24.16,3.64,18.61,4.71,1.79,11.27,0.025,1.87,1.92,10.8,0.21,497.61,2.43,0.04,3.4,3.08,464.36,133.94,0.01,9.9,6.75,0.5,1.01,8.53,0.25,0.025,3.94,0.23,1.07,0.98,78.22,1.45,8.55,62.98,0,0,0
5523.253,8011.928,571.0,0.0025,2.95,22.54,192.69,0.45,0.08,0.09,0.39,19.37,3.51,16.42,3.2,1.39,6.49,0.025,1.72,1.38,9.09,0.18,580.13,3.59,0.03,2.68,1.95,307.12,97.97,0.005,7.35,5.25,0.5,0.83,6.98,0.22,0.025,3.15,0.15,0.72,0.79,47.88,1.08,6.29,68.95,0,0,0
5512.583,8019.745,569.0,0.008,4.69,25.04,236.91,0.64,0.05,0.09,0.08,24.78,6.32,14.76,6.55,2.44,12.25,0.025,2.08,1.96,12.08,0.47,1004.29,3.45,0.07,3.42,2.22,486.69,152.09,0.005,8.21,6.56,0.5,1.1,7.71,0.28,0.025,4.32,0.21,1.1,1.13,69.73,1.59,10.22,77.06,0,0,0
5557.228,8030.05,569.0,0.0025,4.1,8.5,235.91,0.66,0.05,0.14,0.05,23.27,2.59,11.92,6.92,1.25,9.54,0.025,1.65,1.68,10.5,0.15,324.87,2.03,0.14,3.24,1.37,445.08,117.99,0.005,10.98,5.68,0.5,0.8,12.17,0.29,0.025,3.58,0.19,0.82,0.96,57.99,1.5,7.5,65.66,0,0,0
5568.791,8001.131,589.0,0.006,2.85,22.63,188.38,0.41,0.05,0.06,0.24,12.01,1.9,16.05,3.01,1.51,6.88,0.025,1.04,1.33,5.89,0.17,1764.68,1.44,0.03,1.87,2.33,308.05,101.55,0.01,13.57,3.04,0.5,1.07,6.12,0.14,0.025,2.47,0.12,0.73,0.85,44.6,1.17,4.27,44.99,0,0,0
6121.046,7536.826,921.0,0.0025,3.09,5.71,466.73,0.33,0.05,1.06,0.07,12.93,6.35,24.37,2.89,2.17,6.13,0.025,0.88,1.27,6.4,0.91,841.57,0.47,0.34,2.08,3.9,289.84,64.18,0.01,13.28,5.57,0.5,0.63,55.78,0.13,0.025,1.18,0.15,0.79,0.41,53.08,0.83,4.91,32.51,0,0,0
5627.657,8011.16,592.0,0.0025,1.32,35.61,64.0,0.36,0.05,0.05,0.07,12.4,1.84,29.63,1.58,0.97,3.34,0.025,0.59,0.55,7.55,0.04,168.4,6.71,0.02,0.82,1.51,141.33,38.88,0.01,45.87,1.59,0.5,0.4,4.84,0.08,0.025,1.26,0.06,0.28,0.39,14.41,0.8,2.89,22.97,0,0,0
5614.553,7977.078,616.0,0.0025,1.08,1.8,76.0,0.74,0.005,0.1,0.01,4.58,1.14,32.22,1.33,0.89,3.58,0.025,0.42,0.21,2.35,0.15,208.79,0.52,0.25,0.78,1.32,147.18,15.51,0.005,2.87,1.28,0.5,0.29,24.15,0.06,0.025,0.98,0.04,0.12,0.3,13.29,0.2,1.48,16.48,0,0,0
5666.99,8011.368,599.0,0.0025,0.48,13.05,40.88,0.4,0.005,0.07,0.09,2.86,0.59,28.36,1.04,0.58,1.79,0.13,0.05,0.18,1.43,0.01,553.83,0.71,0.02,0.05,1.29,39.73,11.31,0.02,19.06,0.28,0.5,0.2,6.32,0.025,0.025,0.18,0.01,0.1,0.05,3.98,0.05,0.74,2.36,0,0,0
5700.837,8007.122,601.0,0.006,3.92,46.86,183.07,0.58,0.05,0.07,0.23,28.1,1.45,19.74,5.11,1.32,8.91,0.025,1.33,1.64,14.29,0.13,89.42,10.96,0.04,3.33,1.56,441.94,114.4,0.08,36.39,5.06,0.5,0.78,8.56,0.25,0.025,3.61,0.18,1.06,0.94,52.06,1.93,6.01,57.07,0,0,0
5700.844,8006.847,601.0,0.053,5.37,537.15,224.01,0.85,0.05,0.02,0.84,18.08,5.54,9.92,9.67,4.33,12.7,0.06,2.02,2.4,9.41,0.17,194.77,40.48,0.04,5.34,3.09,574.9,164.21,0.11,35.19,6.8,1.0,1.3,7.55,0.39,0.025,4.81,0.29,1.5,1.04,84.72,2.9,7.75,78.91,0,1,0
5700.862,8006.657,601.0,0.171,3.58,328.04,179.5,0.55,0.05,0.06,0.67,19.13,3.92,17.46,4.21,3.64,7.48,0.05,1.63,1.53,10.11,0.12,86.96,21.77,0.04,3.26,1.76,299.59,116.66,2.49,25.58,5.46,0.5,0.93,8.77,0.25,0.025,4.36,0.16,0.86,1.07,60.19,1.49,4.68,51.94,1,0,0
5700.856,8006.524,601.0,0.078,4.52,109.5,182.92,0.57,0.05,0.09,0.12,20.23,1.2,15.72,5.48,1.93,9.03,0.025,1.79,2.03,10.16,0.13,75.9,37.28,0.04,3.09,1.22,333.83,121.48,0.03,28.63,5.89,0.5,0.93,11.88,0.28,0.025,4.68,0.21,0.93,0.95,66.27,1.98,5.72,75.8,0,0,0
5342.774,7989.736,601.0,0.028,3.83,16.78,213.52,0.52,0.05,0.09,0.05,18.01,2.94,17.34,3.62,1.83,8.67,0.025,1.47,1.45,13.07,0.34,597.37,1.28,0.09,2.9,1.61,476.37,106.88,0.005,8.85,4.35,0.5,0.77,7.72,0.21,0.025,3.88,0.14,0.75,0.98,47.07,1.4,8.63,71.25,0,0,0
5350.305,7950.648,621.0,0.0025,3.14,2.73,226.26,0.48,0.05,0.61,0.08,17.14,2.34,30.15,2.39,1.21,7.54,0.09,1.36,0.66,8.36,0.13,299.21,0.45,0.92,3.18,1.42,311.57,43.13,0.005,4.87,4.99,0.5,0.59,116.72,0.19,0.025,3.8,0.14,0.39,0.82,43.87,0.36,6.27,49.9,0,0,0
5322.32,7998.088,586.0,0.009,3.5,12.81,184.22,0.64,0.05,0.08,0.05,19.05,3.53,16.03,4.05,1.62,8.04,0.025,1.0,1.48,8.77,0.32,503.4,1.0,0.09,2.44,1.6,320.52,104.53,0.005,13.56,4.1,0.5,0.77,10.19,0.19,0.025,2.93,0.12,0.8,0.64,50.95,1.04,4.14,40.56,0,0,0
5295.573,8026.062,567.0,0.009,4.79,31.16,238.42,0.62,0.05,0.1,0.07,27.7,5.67,21.78,5.66,2.54,12.16,0.05,1.75,1.85,11.57,0.55,1120.26,3.87,0.24,3.87,2.54,634.91,138.09,0.01,5.96,6.55,0.5,1.03,11.47,0.33,0.025,4.93,0.22,1.03,1.17,59.84,1.65,7.07,65.79,0,0,0
5287.779,7999.252,564.0,0.0025,5.35,45.28,330.29,0.57,0.05,0.05,0.05,5.46,6.02,12.09,3.04,2.66,12.89,0.025,0.77,2.34,2.94,0.51,755.56,2.76,0.04,1.91,1.94,370.26,191.63,0.03,4.67,4.99,0.5,2.06,4.92,0.16,0.025,1.93,0.14,1.7,0.5,55.99,1.29,3.18,31.95,0,0,0
5272.752,8025.306,556.0,0.0025,6.71,23.92,479.65,0.7,0.05,0.1,0.05,19.45,6.4,15.32,4.71,2.97,15.47,0.05,1.81,2.88,9.7,0.58,1029.59,0.68,0.05,4.03,2.79,605.45,188.96,0.005,3.48,8.8,0.5,1.87,7.34,0.34,0.025,4.26,0.25,1.99,1.06,81.68,2.38,7.57,54.92,0,0,0
5272.383,8025.099,556.0,0.0025,4.75,25.92,366.08,0.57,0.05,0.07,0.05,14.87,4.5,13.53,4.2,2.1,11.5,0.025,1.27,2.27,6.08,0.42,549.3,0.77,0.04,3.04,1.79,492.95,148.11,0.005,8.4,5.76,0.5,1.85,5.02,0.23,0.025,3.38,0.19,1.46,0.96,67.99,2.24,4.21,47.9,0,0,0
4902.394,6760.422,959.0,0.676,1.45,4.61,72.83,0.25,0.05,0.07,0.1,2.87,1.86,28.25,3.32,0.54,2.6,0.025,0.1,0.66,0.91,0.1,137.68,0.63,0.03,0.2,1.67,56.83,43.52,0.02,20.59,0.76,0.5,0.2,6.6,0.025,0.025,0.25,0.02,0.29,0.1,12.05,0.4,0.72,4.6,1,0,0
4886.0,6902.0,857.0,0.043,1.16,3.38,53.84,0.23,0.05,0.04,0.05,1.19,0.49,34.55,1.74,0.35,1.89,0.025,0.05,0.45,0.25,0.05,123.67,0.52,0.02,0.1,1.49,32.52,27.36,0.005,13.56,0.31,0.5,0.2,4.66,0.025,0.025,0.11,0.01,0.22,0.05,7.25,0.11,0.19,0.96,0,0,0
4886.0,6801.0,926.0,0.308,1.13,7.75,75.08,0.27,0.05,0.06,0.05,0.96,0.86,20.8,1.7,0.54,2.18,0.025,0.05,0.4,0.25,0.05,118.7,1.14,0.02,0.1,1.39,37.98,25.52,0.005,10.31,0.46,0.5,0.21,4.45,0.025,0.025,0.12,0.01,0.27,0.05,11.88,0.1,0.3,1.47,1,0,0
4884.0,6819.0,910.0,0.031,0.89,3.9,79.09,0.48,0.005,0.07,0.05,0.75,0.28,23.52,2.06,0.35,1.37,0.025,0.1,0.38,0.25,0.03,73.47,1.13,0.02,0.05,1.12,30.19,22.15,0.005,13.17,0.28,0.5,0.1,7.67,0.025,0.025,0.1,0.01,0.22,0.05,6.08,0.1,0.2,1.21,0,0,0
4878.0,6847.0,903.0,0.054,1.06,2.49,40.69,0.3,0.005,0.04,0.05,0.78,0.48,23.84,2.19,0.39,1.79,0.05,0.05,0.41,0.5,0.05,116.88,0.49,0.02,0.1,1.29,49.56,20.89,0.005,8.42,0.74,0.5,0.22,7.21,0.025,0.025,0.11,0.02,0.27,0.05,8.89,0.11,0.42,1.7,0,0,0
4596.0,6494.0,886.0,0.08,3.25,3.02,668.08,0.43,0.06,1.38,0.23,13.83,5.92,26.24,2.51,2.65,7.28,0.05,0.41,0.96,6.9,0.48,507.32,3.25,0.53,2.35,3.99,360.59,36.0,0.12,17.19,6.49,0.5,0.5,104.15,0.15,0.669,1.11,0.18,0.46,0.29,51.44,0.89,6.61,13.76,0,0,1
5596.648,7870.94,671.0,0.008,3.99,49.1,171.1,0.52,0.07,0.07,1.41,23.58,5.74,21.42,4.38,1.7,8.71,0.05,1.09,1.73,9.31,0.12,516.77,2.76,0.04,2.29,3.13,338.69,117.54,0.01,12.89,4.84,0.5,1.05,6.75,0.2,0.05,2.66,0.18,1.08,0.8,40.28,1.52,5.41,53.13,0,0,1
5604.192,7861.974,673.0,0.017,2.97,69.82,194.59,0.68,0.32,0.02,1.09,7.2,2.12,16.21,6.88,2.23,6.77,0.025,0.55,1.52,3.2,0.12,117.39,5.11,0.03,0.99,2.66,362.69,88.64,0.03,7.8,3.49,0.5,0.87,5.02,0.1,0.085,1.34,0.08,1.06,0.47,31.46,0.75,3.24,20.34,0,0,1
5604.457,7862.093,673.0,0.0025,6.11,32.08,201.65,1.04,0.42,0.06,1.97,25.73,2.82,20.0,11.56,2.48,12.23,0.06,1.85,2.16,12.23,0.31,335.35,6.29,0.05,4.02,3.36,641.68,157.78,0.01,11.57,8.37,1.0,1.43,17.6,0.32,0.093,5.06,0.3,1.32,1.25,75.27,2.29,9.45,67.64,0,1,1
5599.653,7836.193,694.0,0.01,7.71,27.59,281.46,1.13,0.9,0.2,0.24,34.21,6.73,23.75,17.21,3.24,19.44,0.07,2.19,2.51,16.72,0.63,284.33,1.49,0.28,5.15,4.92,254.6,174.26,0.005,9.57,11.44,0.5,2.8,33.37,0.44,0.182,6.68,0.32,1.52,1.85,85.8,2.42,11.87,93.74,0,0,1
5629.405,7831.748,703.0,0.023,6.47,91.75,395.26,0.83,0.45,0.02,0.4,25.41,2.56,22.1,11.82,2.36,16.65,0.07,2.31,2.77,14.04,0.25,249.22,6.44,0.07,6.6,1.81,225.46,197.48,0.04,7.76,8.99,0.5,2.64,9.17,0.58,0.116,7.55,0.37,1.75,1.71,87.96,4.36,8.35,90.28,0,0,1
5629.737,7831.999,703.0,0.031,1.32,92.42,111.86,0.21,0.52,0.01,0.66,5.04,2.4,20.83,2.04,1.55,3.09,0.025,0.53,0.6,2.67,0.05,394.97,2.73,0.01,1.11,1.74,98.52,48.78,0.05,9.29,1.65,0.5,0.68,2.07,0.08,0.07,1.64,0.08,0.44,0.43,18.16,0.81,1.23,14.54,0,0,1
5642.476,7842.945,697.0,0.006,1.73,24.4,138.22,0.3,0.08,0.02,0.09,7.09,1.62,18.35,1.95,0.89,4.32,0.025,0.43,0.85,2.82,0.07,522.99,0.97,0.02,1.07,1.49,121.12,56.88,0.01,3.88,2.29,0.5,1.54,3.12,0.09,0.025,0.99,0.06,0.62,0.29,22.6,0.91,1.75,17.26,0,0,0
5655.921,7832.334,706.0,0.005,3.82,24.08,263.44,0.63,0.59,0.07,0.44,13.36,7.27,14.73,5.49,1.7,8.73,0.025,0.98,1.57,5.53,0.2,275.8,10.36,0.03,1.85,1.73,335.7,118.65,0.01,10.06,5.26,0.5,1.34,5.89,0.19,0.141,2.62,0.14,1.13,0.82,57.01,0.98,4.46,33.75,0,0,1
5710.66,7849.902,722.0,0.0025,4.23,25.86,303.11,0.56,0.06,0.06,0.05,18.82,4.1,21.92,5.14,1.39,9.64,0.025,1.29,1.85,9.01,0.13,145.6,2.5,0.05,3.82,2.87,309.83,140.8,0.005,5.03,6.38,0.5,1.12,7.92,0.27,0.051,3.85,0.24,1.29,1.16,48.57,2.34,5.94,57.8,0,0,1
5211.113,7777.32,594.0,0.0025,9.96,131.4,627.54,1.57,0.005,0.23,0.12,54.99,9.98,15.75,19.7,3.39,22.99,0.09,2.85,4.56,24.65,0.29,981.16,0.8,0.48,10.19,3.27,937.2,340.77,0.005,28.41,16.97,1.0,1.59,40.59,0.67,0.025,10.18,0.47,3.04,2.66,199.99,5.67,12.5,115.03,0,1,0
4831.0,7511.0,557.0,0.023,4.93,93.73,296.87,0.82,0.05,0.14,0.11,35.34,5.26,8.63,4.43,3.4,9.85,0.07,1.19,2.27,19.26,0.31,504.68,6.77,0.06,7.75,1.46,610.54,137.48,0.005,3.27,9.72,0.5,0.88,13.38,0.47,0.068,4.48,0.31,1.09,1.02,66.95,1.48,15.86,43.42,0,0,1
5107.181,7796.021,543.0,0.0025,6.68,51.33,500.23,0.97,0.05,0.2,0.14,39.0,5.56,15.24,8.91,1.33,14.71,0.07,2.17,3.16,22.73,0.23,709.76,1.53,0.05,5.01,1.58,758.96,163.35,0.01,25.91,9.73,0.5,0.7,12.34,0.48,0.025,6.75,0.33,1.84,1.61,79.68,1.63,11.29,85.62,0,0,0
5076.036,7728.606,561.0,0.008,7.27,135.01,451.06,2.28,0.05,0.06,1.19,50.75,0.73,4.11,5.0,2.15,15.09,0.08,3.06,3.43,28.27,0.12,791.64,2.44,0.24,8.03,0.54,117.77,168.41,0.12,11.59,9.94,0.5,5.55,16.15,0.88,0.025,15.35,0.1,1.53,3.53,9.46,0.8,16.69,112.11,0,0,0
5057.794,7710.406,563.0,0.0025,8.13,5.18,919.05,1.5,0.05,1.37,0.15,49.46,12.11,36.0,6.88,3.97,21.85,0.09,3.01,3.02,28.75,1.1,832.51,0.36,2.84,7.58,11.08,950.49,140.94,0.005,2.77,14.67,0.5,1.47,315.45,0.63,0.025,9.59,0.44,1.29,2.14,105.38,1.25,17.5,98.28,0,0,0
5153.999,7735.219,593.0,0.013,8.65,179.05,733.92,1.13,0.05,0.34,0.38,52.09,9.0,16.59,11.45,3.29,21.12,0.1,1.98,4.46,23.32,0.29,2100.01,0.34,0.08,8.1,3.66,924.56,260.01,0.01,28.85,14.93,0.5,3.09,18.8,0.6,0.025,6.86,0.44,2.14,1.6,93.27,2.39,14.43,82.17,0,0,0
5144.728,7682.647,610.0,0.0025,6.46,11.92,421.63,2.11,0.05,0.06,0.76,62.41,0.3,2.17,3.3,1.38,16.02,0.08,2.63,2.45,31.67,0.09,712.74,0.64,1.88,6.75,0.42,67.3,124.42,0.01,3.01,7.88,0.5,3.84,41.17,0.76,0.025,17.19,0.07,0.99,3.5,4.23,0.66,13.61,74.92,0,0,0
5144.416,7638.749,617.0,0.009,2.44,25.01,189.99,0.56,0.005,0.05,0.12,14.46,5.89,22.19,4.43,2.2,7.34,0.05,0.77,0.86,7.76,0.3,710.6,1.18,0.03,1.99,2.36,174.66,45.13,0.01,3.49,3.02,0.5,0.39,9.39,0.11,0.025,1.82,0.08,0.39,1.72,148.24,0.49,5.64,33.19,0,0,0
5225.282,7644.835,649.0,0.0025,2.28,1.27,211.43,0.48,0.05,0.13,0.05,16.37,2.05,26.14,4.17,0.88,4.58,0.05,0.57,0.55,8.29,0.14,970.31,0.44,0.23,1.41,1.65,183.99,32.81,0.01,2.45,3.27,0.5,0.39,36.14,0.11,0.025,1.52,0.08,0.29,0.4,39.14,0.2,4.79,30.45,0,0,0
5115.68,7265.548,789.0,0.0025,6.47,1.11,602.11,1.73,0.26,0.7,0.05,50.57,0.31,4.91,5.56,0.9,13.06,0.06,2.46,2.43,24.4,0.08,211.08,1.32,1.06,5.99,0.42,102.57,97.78,0.005,0.59,2.25,0.5,2.77,123.12,1.05,0.025,18.84,0.04,0.58,6.71,1.0,0.74,21.94,75.43,0,0,0
4674.0,7389.0,549.0,1.181,0.56,8.03,51.63,0.25,0.005,0.03,0.05,0.31,0.3,18.33,1.25,0.29,0.98,0.025,0.05,0.22,0.25,0.02,37.55,0.71,0.02,0.05,0.92,20.67,15.13,0.005,15.29,0.1,0.5,0.1,6.66,0.025,0.025,0.05,0.0025,0.11,0.05,7.88,0.05,0.11,0.76,1,0,0
4519.0,7265.0,550.0,0.015,3.62,64.75,137.43,0.56,0.05,0.11,0.06,19.61,4.81,20.32,3.88,2.05,8.19,0.05,1.15,1.23,8.97,0.18,534.53,1.02,0.8,2.18,2.19,385.28,80.07,0.005,10.45,5.67,0.5,1.07,36.06,0.22,0.025,2.95,0.15,0.76,0.93,66.8,1.04,5.45,39.53,0,0,0
5401.676,8034.352,590.0,0.0025,1.89,10.97,105.17,0.36,0.005,27.78,0.05,26.6,2.6,2.16,1.99,1.47,4.77,0.07,0.47,0.79,14.28,0.27,15458.57,0.33,0.02,0.91,0.1,240.72,57.24,0.04,0.92,3.32,1.07,1.08,305.18,0.09,0.025,1.33,0.07,0.51,0.41,23.58,0.74,23.99,21.49,0,1,0
5488.196,8046.583,563.0,0.008,3.75,21.18,177.86,0.6,0.05,0.12,0.05,25.03,5.79,13.87,6.86,2.38,6.98,0.1,1.86,1.15,12.32,0.54,1027.6,1.61,0.26,3.55,1.78,628.89,79.01,0.01,10.81,8.79,0.5,0.73,15.21,0.28,0.025,4.25,0.26,0.63,1.31,59.07,2.8,8.91,69.35,0,0,0
5421.191,8107.76,537.0,0.0025,7.18,6.71,872.56,1.92,0.15,0.15,0.14,47.62,1.07,5.41,6.56,1.21,16.34,0.07,2.68,3.75,24.37,0.1,425.27,1.35,1.9,6.34,0.81,122.82,159.47,0.01,2.28,3.02,0.5,3.07,133.2,0.96,0.025,17.81,0.07,1.63,4.96,4.79,1.28,17.58,101.94,0,0,0
5370.292,8166.589,504.0,0.009,3.61,30.78,261.62,0.43,0.05,0.09,0.06,9.77,8.29,16.94,2.75,3.07,8.12,0.05,0.65,1.37,4.12,0.3,1566.37,1.29,0.04,1.87,2.41,328.69,107.08,0.02,5.61,3.9,0.5,3.89,7.5,0.15,0.025,2.0,0.1,1.02,0.64,38.09,0.61,3.91,35.2,0,0,0
5359.797,8200.243,503.0,0.0025,8.16,2.82,804.77,1.37,0.05,1.82,0.11,44.7,12.5,31.58,2.02,3.83,17.52,0.05,2.44,1.84,26.49,1.2,683.79,0.26,2.66,8.14,11.36,754.26,69.05,0.01,3.28,13.63,0.5,1.53,399.47,0.55,0.025,7.88,0.35,0.58,1.9,107.25,0.64,18.8,74.0,0,0,0
5325.548,8181.649,498.0,0.0025,4.46,21.03,364.04,0.67,0.05,0.09,0.07,19.13,7.07,13.53,8.02,1.89,10.74,0.025,0.97,1.91,12.17,0.29,733.0,3.21,0.09,2.83,4.49,317.42,147.97,0.01,5.23,6.28,0.5,2.5,10.56,0.2,0.025,3.53,0.17,1.37,0.72,71.05,2.15,5.95,30.67,0,0,0
5416.856,6990.309,973.0,0.0025,5.26,5.1,30.77,0.42,0.07,5.43,0.49,20.17,5.36,24.4,0.68,3.58,28.52,0.025,0.99,0.07,8.37,0.38,1036.27,1.28,0.46,3.08,4.74,334.2,3.82,0.01,20.06,6.97,0.5,0.75,1289.52,0.24,0.06,2.06,0.2,0.07,0.57,149.08,0.61,8.42,28.04,0,0,1
4635.393,7157.17,657.0,0.0025,2.02,38.96,83.12,0.32,0.05,0.07,0.05,10.22,2.93,15.05,3.55,1.32,4.56,0.025,0.66,0.7,4.48,0.16,258.22,5.57,0.29,1.52,1.26,205.45,53.34,0.005,31.99,2.85,0.5,0.37,16.89,0.09,0.025,1.79,0.09,0.41,0.46,38.35,0.53,2.72,23.92,0,0,0
5294.175,7040.576,938.0,0.0025,5.41,0.41,288.68,1.32,0.18,1.05,0.13,36.54,0.49,3.11,6.54,0.78,15.46,0.025,2.63,2.33,21.55,0.19,349.86,0.66,1.22,7.37,0.53,130.91,139.38,0.005,3.5,2.08,0.5,2.49,64.93,0.83,0.025,17.29,0.03,0.93,4.96,2.89,0.3,15.39,63.43,0,0,0
5289.277,7052.313,926.0,0.019,5.55,4.1,162.63,0.68,0.15,0.13,0.23,50.71,1.02,1.08,1.42,0.7,9.65,0.025,2.6,0.95,24.95,0.17,575.98,0.36,3.67,7.94,0.61,67.99,49.53,0.005,1.35,2.37,0.5,2.75,103.24,0.97,0.538,20.07,0.04,0.29,5.61,4.34,0.4,16.91,69.68,0,0,1
7134.0,6878.0,1192.0,0.0025,8.19,2.74,351.02,0.98,0.05,3.29,0.1,25.59,17.62,33.27,5.39,4.65,18.33,0.07,2.13,1.29,12.09,1.88,753.65,0.78,2.21,6.41,11.14,698.24,34.91,0.01,2.28,16.46,0.5,1.16,376.78,0.36,0.025,3.25,0.48,0.39,0.98,149.97,0.64,13.7,69.32,0,0,0
7043.0,6955.0,1179.0,0.0025,6.07,0.4,471.95,1.5,0.05,1.73,0.29,46.98,0.75,0.5,2.27,1.54,18.4,0.025,3.52,2.03,22.97,0.07,531.68,1.22,2.1,8.3,0.72,98.33,92.25,0.01,1.33,9.08,0.5,2.5,157.52,0.61,0.025,10.87,0.07,0.8,2.55,2.86,0.32,15.25,109.61,0,0,0
6688.0,7269.0,1077.0,0.0025,7.7,1.77,554.23,1.03,0.06,2.93,0.11,31.68,17.95,32.02,1.77,4.54,20.73,0.1,1.68,0.9,13.13,2.48,637.85,0.26,2.17,7.42,12.23,888.97,23.34,0.02,1.8,16.99,0.5,1.26,579.89,0.36,0.025,2.13,0.48,0.51,0.72,161.46,0.84,14.05,53.12,0,0,0
6433.0,7620.0,919.0,0.0025,6.07,14.0,901.72,1.42,0.1,0.15,0.05,65.34,0.39,3.83,2.16,1.08,16.95,0.05,2.78,2.88,28.64,0.04,132.51,1.45,2.28,5.75,0.65,77.48,135.58,0.01,2.58,7.85,0.5,2.06,90.62,0.41,0.025,14.11,0.05,0.86,3.73,3.18,0.1,11.78,74.53,0,0,0
6365.0,7602.0,924.0,74.766,2.04,25.25,232.25,0.4,0.05,0.03,0.24,0.5,0.2,7.42,4.46,0.69,4.58,0.025,0.05,1.09,0.25,0.08,39.76,8.65,0.04,0.1,1.02,65.14,61.24,0.02,43.28,0.32,16.47,0.2,13.44,0.025,0.113,0.13,0.01,0.6,0.11,11.99,0.05,0.29,1.4,1,1,1
6364.0,7635.0,909.0,0.018,6.33,7.87,153.26,0.81,0.005,0.37,0.07,25.72,15.62,24.75,5.87,7.74,13.15,0.09,1.97,0.84,12.26,1.42,1193.79,0.71,1.01,4.74,14.32,677.84,74.48,0.01,3.57,14.4,0.5,1.46,90.17,0.32,0.025,2.68,0.34,0.54,1.04,116.08,2.03,16.26,55.24,0,0,0
6359.0,7629.0,909.0,0.037,0.94,2.05,54.71,0.27,0.05,15.44,0.07,3.91,1.34,8.39,2.59,0.6,1.98,0.025,0.22,0.36,2.63,0.14,1002.17,0.22,0.07,0.37,1.1,70.52,24.5,0.01,15.56,1.15,0.5,0.1,139.25,0.025,0.025,0.17,0.03,0.24,0.1,11.5,0.33,1.34,3.18,0,0,0
6325.0,7608.0,919.0,0.025,0.41,151.31,29.24,0.1,0.05,0.04,0.77,1.42,4.02,50.54,0.84,3.93,1.97,0.025,0.1,0.06,0.98,0.11,199.51,5.65,0.02,0.2,4.64,113.16,4.13,0.39,7.12,3.27,1.0,0.21,6.39,0.025,0.025,0.05,0.0025,0.08,0.1,23.1,0.33,1.83,2.74,0,1,0
6313.0,7609.0,919.0,0.0025,4.74,2.61,155.44,0.58,0.05,0.9,0.08,20.34,10.65,26.85,6.83,2.69,11.46,0.025,0.91,1.19,10.66,1.29,713.41,0.18,0.91,3.49,9.08,560.51,80.41,0.01,6.62,11.0,0.5,0.75,112.39,0.18,0.025,1.49,0.33,0.7,0.39,75.36,1.72,9.24,40.13,0,0,0
6310.0,7611.0,943.0,0.028,1.14,89.9,54.76,0.21,0.05,0.12,0.05,4.7,4.74,32.77,1.85,2.95,3.56,0.025,0.41,0.19,1.8,0.2,163.07,2.71,0.21,0.83,4.67,221.32,13.86,0.12,7.05,2.71,0.5,0.38,26.78,0.025,0.025,0.46,0.06,0.17,0.19,32.53,0.58,2.12,14.89,0,0,0
5616.0,6483.0,1292.0,0.029,8.58,11.79,215.43,1.01,0.06,3.73,0.06,33.4,15.09,12.37,5.93,4.11,21.61,0.08,1.38,1.43,16.5,1.34,645.71,0.23,3.08,8.27,5.84,739.87,78.68,0.07,2.62,17.21,0.5,1.28,511.49,0.42,0.025,4.08,0.48,0.81,1.2,130.51,0.91,19.93,44.17,0,0,0
5445.0,6549.0,1222.0,0.011,6.87,3.61,579.16,1.22,0.15,2.16,0.51,46.39,4.02,3.98,4.78,2.05,17.14,0.025,1.77,2.22,21.83,0.46,499.59,0.66,1.94,7.13,2.07,430.16,105.32,0.19,1.16,5.01,0.5,1.76,164.35,0.46,0.186,7.34,0.22,0.7,1.91,28.12,1.59,13.75,58.1,0,0,1
